RecordID,UserID,UserName,User_Latitude,User_Longitude,DonationID,Donation_Date,Donation_Time,Description_,DonationType,Quantity,Time_Duration,Organization_ID,Organization_Name,Org_City,Org_Latitude,Org_Longitude,DeliveryBoyID,Delivery_Status,Estimated_Delivery_Time
30,146,Girish Loyal,26.869622,75.827867,DON-1030,2025-01-10,08:27:00,Milk packets,Water,89,22 hours,3,Shri Manekba Vinayvihar Goshaalaa,Jaipur,26.772156,75.722074,11.0,In Progress,
536,111,Odika Venkataraman,26.828806,75.824745,DON-1536,2025-01-10,11:44:00,dry snacks,Water,1,17 hours,6,Shri Swami Narayan Gurukul Vishwavidyalaya,Jaipur,26.701259,75.745296,3.0,Pending,
696,97,Chaaya Pai,26.732239,75.702748,DON-1696,2025-01-30,09:30:00,rice,Dry,33,22 hours,18,Shri Anandbawa Sewa Samarth Goshaalaa,Jaipur,26.836556,75.712162,4.0,In Progress,5 hours
558,177,Raagini Bobal,26.848692,75.873076,DON-1558,2025-01-23,19:35:00,Flour and pulses,Water,77,1 hours,5,Shri Gopinathji Goshaalaa,Jaipur,26.860899,75.722944,43.0,Completed,2 hours
837,169,Timothy Wadhwa,26.746287,75.850718,DON-1837,2025-01-30,07:00:00,rice,Water,49,9 hours,19,Shri Umiya Goshaalaa Trust,Jaipur,26.754412,75.75911,,In Progress,1 hours
597,194,Yamini Setty,26.728363,75.763433,DON-1597,2025-01-18,16:49:00,Dal and roti,Dry,1,11 hours,17,Shri Satkeval Goshaalaa,Jaipur,26.794713,75.871971,30.0,In Progress,3 hours
166,120,Forum Pall,26.76098,75.843718,DON-1166,2025-01-04,14:10:00,Flour and pulses,Water,20,12 hours,7,Shri Lokbharati Gramvidyapeeth Goshaalaa,Jaipur,26.747357,75.746761,,Completed,4 hours
919,63,Nidhi Khosla,26.826754,75.88473,DON-1919,2025-01-04,13:42:00,Vegetable,Dry,15,19 hours,2,Shri Radhanpur Khoda Dhor Panjrapol Goshaalaa,Jaipur,26.844608,75.886375,15.0,Pending,4 hours
496,21,Bhanumati Majumdar,26.717979,75.843459,DON-1496,2025-01-22,19:30:00,Milk packets,Dry,98,23 hours,1,Shri Jalaram Mandir Trust GoshaalaaJalaram Gosewa Kendra,Jaipur,26.785044,75.768477,45.0,In Progress,5 hours
825,23,Imaran Agrawal,26.843395,75.719411,DON-1825,2025-01-07,12:36:00,Wheat flour and oil for rural areas,Water,46,15 hours,12,Shri Kabir Ashram Goshaalaa,Jaipur,26.749535,75.809407,50.0,Completed,
66,55,Samesh Upadhyay,26.755705,75.767408,DON-1066,2025-01-02,16:38:00,Barley Packets,Water,77,5 hours,2,Shri Radhanpur Khoda Dhor Panjrapol Goshaalaa,Jaipur,26.844608,75.886375,10.0,In Progress,3 hours
142,20,Vamakshi Bajwa,26.850124,75.701205,DON-1142,2025-01-15,08:30:00,Vegetable,Water,52,18 hours,10,Shri 108 Purushottamlalji Gausewa Trust,Jaipur,26.836852,75.706736,7.0,Pending,4 hours
926,140,Sachi Sabharwal,26.825339,75.70685,DON-1926,2025-01-09,17:47:00,fruits,Dry,75,1 hours,5,Shri Gopinathji Goshaalaa,Jaipur,26.860899,75.722944,27.0,Pending,3 hours
828,27,Henry Radhakrishnan,26.833942,75.756539,DON-1828,2025-01-21,08:17:00,Flour and pulses,Dry,45,10 hours,8,Shri Bochasanwasi Aksharpurushottam Mandir Goshaalaa,Jaipur,26.800472,75.882587,46.0,Pending,5 hours
656,156,Meera Grewal,26.726773,75.897813,DON-1656,2025-01-15,17:50:00,Flour and pulses,Water,71,17 hours,15,Aryavan Vikas Trust Goshaalaa,Jaipur,26.722795,75.735231,13.0,In Progress,5 hours
332,68,Gautam Dass,26.768658,75.841597,DON-1332,2025-01-19,08:12:00,fruits,Dry,85,7 hours,1,Shri Jalaram Mandir Trust GoshaalaaJalaram Gosewa Kendra,Jaipur,26.785044,75.768477,20.0,Completed,1 hours
665,168,Vamakshi Choudhury,26.769191,75.873895,DON-1665,2025-01-09,18:55:00,Milk packets,Dry,69,23 hours,10,Shri 108 Purushottamlalji Gausewa Trust,Jaipur,26.836852,75.706736,5.0,Completed,4 hours
